1,1,26,f
2,1,99,f
3,1,78,f
4,2,26,f
5,2,54,f
6,2,62,f
7,3,60,f
8,3,25,f
9,4,59,f
10,4,12,f
11,4,67,f
12,4,42,f
13,4,34,f
14,5,23,f
15,5,23,f
16,5,78,f
17,5,25,f
18,5,77,f
19,6,26,f
20,7,78,f
21,7,62,f
22,7,30,f
23,8,70,t
24,8,37,t
25,9,71,t
26,9,95,t
27,9,4,t
28,10,18,f
29,10,75,f
30,10,42,f
31,11,58,t
32,11,1,t
33,11,21,t
34,11,18,t
35,12,4,t
36,12,68,t
37,12,85,t
38,12,21,t
39,13,1,t
40,14,51,t
41,15,13,f
42,15,10,f
43,15,36,f
44,15,69,f
45,15,49,f
46,16,72,t
47,16,5,t
48,17,63,f
49,17,34,f
50,18,29,t
51,18,38,t
52,18,35,t
53,18,78,t
54,19,84,f
55,19,30,f
56,19,72,f
57,19,94,f
58,19,98,f
59,20,99,t
60,20,1,t
61,20,26,t
62,20,22,t
63,21,84,t
64,22,86,f
65,22,49,f
66,23,21,t
67,23,83,t
68,23,92,t
69,23,23,t
70,23,91,t
71,24,79,t
72,25,43,f
73,25,46,f
74,25,86,f
75,26,28,f
76,26,26,f
77,26,34,f
78,26,96,f
79,27,35,f
80,28,51,f
81,28,91,f
82,28,23,f
83,28,59,f
84,28,65,f
85,29,52,f
86,29,14,f
87,29,54,f
88,29,90,f
89,29,55,f
90,30,91,f
91,30,81,f
92,30,30,f
93,31,99,f
94,31,97,f
95,31,31,f
96,32,67,f
97,32,80,f
98,32,11,f
99,32,47,f
100,32,17,f
101,33,37,f
102,33,43,f
103,34,61,f
104,34,54,f
105,34,74,f
106,34,24,f
107,34,64,f
108,35,67,t
109,35,78,t
110,35,66,t
111,35,66,t
112,35,58,t
113,36,69,t
114,37,45,t
115,37,79,t
116,37,52,t
117,38,39,t
118,38,95,t
119,38,82,t
120,39,29,f
121,39,98,f
122,39,34,f
123,39,4,f
124,40,94,t
125,40,58,t
126,40,59,t
127,40,45,t
128,40,30,t
129,41,55,f
130,41,51,f
131,42,67,f
132,42,94,f
133,42,18,f
134,42,82,f
135,42,7,f
136,43,32,t
137,44,28,f
138,44,22,f
139,44,36,f
140,44,53,f
141,45,35,f
142,46,96,f
143,46,1,f
144,47,80,t
145,47,41,t
146,47,44,t
147,47,81,t
148,47,76,t
149,48,47,f
150,48,67,f
151,48,22,f
152,48,61,f
153,49,1,f
154,49,40,f
155,50,1,f
156,50,36,f
157,50,66,f
158,51,16,f
159,51,98,f
160,52,42,f
161,52,76,f
162,52,68,f
163,53,60,f
164,53,47,f
165,54,43,t
166,54,77,t
167,55,46,f
168,55,74,f
169,55,58,f
170,55,6,f
171,56,25,f
172,57,61,f
173,58,47,f
174,58,61,f
175,58,25,f
176,58,91,f
177,58,11,f
178,59,11,f
179,59,99,f
180,59,24,f
181,59,94,f
182,60,53,f
183,60,54,f
184,61,58,f
185,61,60,f
186,61,10,f
187,61,12,f
188,62,97,f
189,62,73,f
190,63,93,f
191,63,14,f
192,64,27,f
193,64,85,f
194,64,65,f
195,65,3,f
196,65,34,f
197,66,54,f
198,66,14,f
199,66,38,f
200,67,57,t
201,67,50,t
202,67,19,t
203,68,85,f
204,68,84,f
205,68,31,f
206,69,47,f
207,69,78,f
208,70,17,f
209,70,86,f
210,70,75,f
211,70,79,f
212,71,69,f
213,71,11,f
214,72,50,t
215,72,44,t
216,72,63,t
217,72,61,t
218,72,53,t
219,73,11,f
220,74,61,f
221,74,53,f
222,74,95,f
223,75,12,f
224,75,9,f
225,75,2,f
226,75,82,f
227,75,71,f
228,76,53,f
229,76,71,f
230,76,5,f
231,76,11,f
232,77,2,t
233,77,21,t
234,78,92,f
235,78,34,f
236,79,67,t
237,79,6,t
238,79,16,t
239,80,4,t
240,80,35,t
241,80,88,t
242,81,3,f
243,81,31,f
244,82,41,t
245,82,16,t
246,83,69,f
247,83,76,f
248,83,67,f
249,83,56,f
250,83,32,f
251,84,73,f
252,84,71,f
253,85,67,t
254,86,82,f
255,86,47,f
256,86,31,f
257,86,13,f
258,86,57,f
259,87,62,t
260,87,34,t
261,87,8,t
262,87,15,t
263,88,51,f
264,88,76,f
265,89,89,t
266,89,60,t
267,89,92,t
268,89,31,t
269,89,65,t
270,90,80,f
271,90,97,f
272,90,34,f
273,91,81,f
274,91,96,f
275,91,49,f
276,91,7,f
277,91,83,f
278,92,59,t
279,93,28,t
280,93,23,t
281,93,15,t
282,93,24,t
283,93,2,t
284,94,35,f
285,94,88,f
286,94,66,f
287,94,93,f
288,94,100,f
289,95,93,t
290,96,98,f
291,96,48,f
292,96,43,f
293,96,26,f
294,96,52,f
295,97,35,t
296,97,74,t
297,97,76,t
298,97,38,t
299,97,67,t
300,98,68,f
301,99,52,t
302,100,71,f
303,100,51,f
304,100,25,f
305,100,35,f
306,100,5,f
307,101,53,f
308,101,57,f
309,101,5,f
310,101,10,f
311,101,56,f
312,102,47,f
313,102,61,f
314,102,30,f
315,102,27,f
316,103,61,f
317,104,70,f
318,104,35,f
319,104,42,f
320,104,9,f
321,104,95,f
322,105,14,f
323,106,44,f
324,107,99,f
325,107,43,f
326,107,90,f
327,108,33,f
328,108,64,f
329,108,2,f
330,108,54,f
331,108,73,f
332,109,85,f
333,110,33,f
334,110,51,f
335,110,40,f
336,110,94,f
337,111,8,f
338,111,38,f
339,111,10,f
340,111,29,f
341,112,48,f
342,112,35,f
343,112,69,f
344,113,58,f
345,113,22,f
346,113,67,f
347,114,37,f
348,114,92,f
349,114,77,f
350,114,71,f
351,114,28,f
352,115,28,f
353,115,66,f
354,115,29,f
355,116,14,f
356,116,39,f
357,116,38,f
358,116,3,f
359,116,54,f
360,117,20,f
361,117,72,f
362,117,87,f
